ubicacion,cod,descripcion,ff,laboratorio,lote,fv,presentacion,stock_inicial,entrada,salida,stoc_actual,precio_venta,comentarios
M-1,P41,BLEMISH+AGE DEFENSE CORRECT X 15 ML,FCO,SKIN CEUTICALS,,,UND,1,0,1,0, 199.00 ,
A,P42,SUCRALFATO 1 G / 5 ML X 200 ML,SUSP ORAL,GENFAR,DCL4418,,UND,0,5,5,0, 35.00 ,
M-1,P43,CALMWISE COLOUR CORRECT X 50 ML,FCO,MEDIK8,A03373,,UND,7,0,7,0, 245.00 ,
V-2,P44,CERAVE CREMA HIDRATANTE  X 340 GR,CREMA,CERAVE,44X200/44X603,feb-26,UND,10,6,9,7, 80.00 ,
V-2,P45,CERAVE GEL CONTROL IMPERFECCIONES X 40 ML,GEL,CERAVE,54X502,,UND,1,1,2,0, 79.90 ,
V-2,P46,CERAVE GEL LIMPIADOR ESPUMOSO 236 ML,GEL,CERAVE,56XO08,oct-26,UND,1,8,5,4, 63.50 ,
V-2,P47,CERAVE GEL LIMPIADOR ESPUMOSO 473 ML,GEL,CERAVE,56XD07/56XD08,dic-26,UND,1,11,2,10, 94.50 ,
V-2,P48,CERAVE LIMPIADOR CONTROL IMPERFECCIONES X 236 ML,FCO,CERAVE,54Y107/54Y200,ene-27,UND,2,12,3,11, 66.50 ,
V-2,P49,CERAVE LOC HIDRATANTE FAC AM X 52 ML,LOCION,CERAVE,54X004/54Y701,oct-26,UND,1,9,4,6, 55.50 ,
V-2,P50,CERAVE S.A ANTI RUGOSIDADES  X 340 GR,CREMA,CERAVE,44X102,ene-26,UND,6,0,5,1, 107.90 ,
I,P51,CETAPHIL OPTIMAL HYDRATION CREMA HIDRATANTE FACIAL X 48 GR,CREMA,GALDERMA,371468,,UND,1,0,1,0, 174.00 ,
A,P52,CETIRIZINA 10 MG,TABLETAS,FARMINDUSTRIA,20330933,sep-25,CAJ X 100,260,1300,1327,233, 0.30 ,
V-1,P53,CICA FISS GEL SILICONA X 15 ML,GEL,FISSION LAB,314601/406101,may-26,UND,1,4,2,3, 106.60 ,
V-2,P54,CICAPLAS BAUME B5+ X 40 ML,TBO,LA ROCHE POSAY,54X007,,UND,2,1,3,0, 59.50 ,
I,P55,CICATOPIC CREMA x 30 ML,CREMA,MEDISCIENCE,205013,,UND,0,42,42,0, 55.00 ,
M-1,P56,CLARITY PEPTIDES SERUM X 30 ML,FCO,MEDIK8,A06401,oct-26,UND,3,15,16,2, 219.00 ,
I,P57,CLOB- X SHAMPOO X 125 ML,GEL,GALDERMA,3114241/4114078/4114083,abr-26,UND,4,24,15,13, 169.50 ,
A,P58,CLOBETASOL 0.05 %  X 25 GR crema,CREMA,FARMINDUSTRIA,20220663,feb-26,UND,12,24,34,2, 10.00 ,
