cie10_clase;clase;cie10_enfermedad;nombre_enfermedad
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A065;ABSCESO AMEBIANO DEL PULMON
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A066;ABSCESO AMEBIANO DEL CEREBRO
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A067;AMEBIASIS CUTANEA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A068;INFECCION AMEBIANA DE OTRAS LOCALIZACIONES
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A069;AMEBIASIS, NO ESPECIFICADA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A070;BALANTIDIASIS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A071;GIARDIASIS [LAMBLIASIS]
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A072;CRIPTOSPORIDIOSIS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A073;ISOSPORIASIS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A078;OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A079;ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A0793;COLITIS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A080;ENTERITIS DEBIDA A ROTAVIRUS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A081;GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A082;ENTERITIS DEBIDA A ADENOVIRUS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A083;OTRAS ENTERITIS VIRALES
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A084;INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A085;OTRAS INFECCIONES INTESTINALES ESPECIFICADAS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A090;OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A099;GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A09X;INFECCIONES INTESTINALES DEBIDAS A OTROS ORGANISMOS SIN ESPECIFICAR
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A09X0;DIARREA ACUOSA INCLUYE COLITIS, ENTERITIS, ENTEROCOLITIS, GASTROENTERITIS Y GASTROENTEROCOLITIS
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A09X1;ENFERMEDAD DIARREICA ACUOSA SIN DESHIDRATACION
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A09X2;ENFERMEDAD DIARREICA ACUOSA CON DESHIDRATACION
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A09X3;ENFERMEDAD DIARREICA ACUOSA CON DESHIDRATACION CON SHOCK
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A09X4;ENFERMEDAD DIARREICA DISENTERICA SIN DESHIDRATACION
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A09X5;ENFERMEDAD DIARREICA DISENTERICA CON DESHIDRATACION
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A09X6;ENFERMEDAD DIARREICA PERSISTENTE
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A09X7;DIARREA DISENTERICA
A00 - A09;ENFERMEDADES INFECCIOSAS INTESTINALES;A09X8;ENFERMEDAD DIARREICA DISENTERICA CON DESHIDRATACION CON SHOCK
A15 - A19;TUBERCULOSIS;A150;TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO
A15 - A19;TUBERCULOSIS;A151;TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO
A15 - A19;TUBERCULOSIS;A152;TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE
A15 - A19;TUBERCULOSIS;A153;TUBERCULOSIS DEL PULMON, CONFIRMADA POR MEDIOS NO ESPECIFICADOS
A15 - A19;TUBERCULOSIS;A154;TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A15 - A19;TUBERCULOSIS;A155;TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A15 - A19;TUBERCULOSIS;A156;PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A15 - A19;TUBERCULOSIS;A157;TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A15 - A19;TUBERCULOSIS;A158;OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE
A15 - A19;TUBERCULOSIS;A159;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A15 - A19;TUBERCULOSIS;A160;TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS
A15 - A19;TUBERCULOSIS;A161;TUBERCULOSIS DE PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO
A15 - A19;TUBERCULOSIS;A162;TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A15 - A19;TUBERCULOSIS;A163;TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A15 - A19;TUBERCULOSIS;A164;TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A15 - A19;TUBERCULOSIS;A165;PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A15 - A19;TUBERCULOSIS;A167;TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A15 - A19;TUBERCULOSIS;A168;OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION
A15 - A19;TUBERCULOSIS;A169;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A15 - A19;TUBERCULOSIS;A170;MENINGITIS TUBERCULOSA
A15 - A19;TUBERCULOSIS;A171;TUBERCULOMA MENINGEO
A15 - A19;TUBERCULOSIS;A178;OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO
A15 - A19;TUBERCULOSIS;A179;TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA
A15 - A19;TUBERCULOSIS;A180;TUBERCULOSIS DE HUESOS Y ARTICULACIONES
A15 - A19;TUBERCULOSIS;A1801;TUBERCULOSIS DE HUESOS Y ARTICULACIONES, SIN CONFIRMACION BACTERIOLOGICA E HISTOPATOLOGICA
A15 - A19;TUBERCULOSIS;A1802;TUBERCULOSIS DE HUESOS Y ARTICULACIONES, CONFIRMADO CON HISTOPATOLOGIA
A15 - A19;TUBERCULOSIS;A1803;TUBERCULOSIS DE HUESOS Y ARTICULACIONES, CONFIRMADO CON BACTERIOLOGIA
A15 - A19;TUBERCULOSIS;A181;TUBERCULOSIS DEL APARATO GENITOURINARIO
A15 - A19;TUBERCULOSIS;A1811;TUBERCULOSIS DEL APARATO GENITOURINARIO, SIN CONFIRMACION BACTERIOLOGICA E HISTOPATOLOGICA
A15 - A19;TUBERCULOSIS;A1812;TUBERCULOSIS DEL APARATO GENITOURINAIRO, CONFIRMADO CON HISTOPATOLOGIA
A15 - A19;TUBERCULOSIS;A1813;TUBERCULOSIS DEL APARATO GENITOURINARIO, CONFIRMADO CON BACTERIOLOGIA
A15 - A19;TUBERCULOSIS;A182;LINFADENOPATIA PERIFERICA TUBERCULOSA
A15 - A19;TUBERCULOSIS;A1821;LINFADENOPATIA PERIFERICA TUBERCULOSA, SIN CONFIRMACION BACTERIOLOGICA E HISTOPATOLOGICA
A15 - A19;TUBERCULOSIS;A1822;LINFADENOPATIA PERIFERICA TUBERCULOSA, CONFIRMADO CON HISTOPATOLOGIA
A15 - A19;TUBERCULOSIS;A1823;LINFADENOPATIA PERIFERICA TUBERCULOSA, CONFIRMADO CON BACTERIOLOGIA
A15 - A19;TUBERCULOSIS;A183;TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS
A15 - A19;TUBERCULOSIS;A1831;TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y GANGLIOS MESENTERICOS, SIN COFIRMIMACION BACTERIOLOGICA
A15 - A19;TUBERCULOSIS;A1832;TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y GANGLIOS MESENTERICOS CONFIRMADO CON HISTOPATOLOGIA
A15 - A19;TUBERCULOSIS;A1833;TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y GANGLIOS MESENTERICOS, CONFIRMADO CON BACTERIOLOGIA
A15 - A19;TUBERCULOSIS;A184;TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO
A15 - A19;TUBERCULOSIS;A1841;TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO, SIN CONFIRMACION BACTERIOLOGICA E HISTOPATOLOGICA
A15 - A19;TUBERCULOSIS;A1842;TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO, CONFIRMADO CON HISTOPATOLOGIA
A15 - A19;TUBERCULOSIS;A1843;TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO, CONFIRMADO CON BACTERIOLOGIA
A15 - A19;TUBERCULOSIS;A185;TUBERCULOSIS DEL OJO
A15 - A19;TUBERCULOSIS;A1851;TUBERCULOSIS DEL OJO, SIN CONFIRMACION BACTERIOLOGICA E HISTOPATOLOGICA
A15 - A19;TUBERCULOSIS;A1852;TUBERCULOSIS DEL OJO, CONFIRMADO CON HISTOPATOLOGIA
A15 - A19;TUBERCULOSIS;A1853;TUBERCULOSIS DEL OJO, CONFIRMACO CON BACTERIOLOGIA
A15 - A19;TUBERCULOSIS;A186;TUBERCULOSIS DEL OIDO
A15 - A19;TUBERCULOSIS;A1861;TUBERCULOSIS DEL OIDO, SIN CONFIRMACION BACTERIOLOGICA E HISTOPATOLOGICA
A15 - A19;TUBERCULOSIS;A1862;TUBERCULOSIS DEL OIDO, CONFIRMADO CON HISTOPATOLOGIA
A15 - A19;TUBERCULOSIS;A1863;TUBERCULOSIS DEL OIDO, CONFIRMADO CON BACTERIOLOGIA
A15 - A19;TUBERCULOSIS;A187;TUBERCULOSIS DE GLANDULAS SUPRARRENALES
A15 - A19;TUBERCULOSIS;A1871;TUBERCULOSIS DE GLANDULAS SUPRARRENALES, SIN CONFIRMACION BACTERIOLOGICA E HISTOPATOLOGICO
A15 - A19;TUBERCULOSIS;A1872;TUBERCULOSIS DE GLANDULAS SUPRARRENALES, CONFIRMADO CON BACTERIOLOGIA
A15 - A19;TUBERCULOSIS;A188;TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
A15 - A19;TUBERCULOSIS;A1881;TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS, SIN CONFIRMACION BACTERIOLOGICA E HISTOPATOLOGICA
A15 - A19;TUBERCULOSIS;A1882;TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS, CONFIRMADO CON HISTOPATOLOGIA
