cie10_clase;clase;cie10_enfermedad;nombre_enfermedad
F20 - F29;ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES;F238;OTROS TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS
F20 - F29;ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES;F239;TRASTORNO PSICOTICO AGUDO Y TRANSITORIO, NO ESPECIFICADO
F20 - F29;ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES;F24X;TRASTORNO DELIRANTE INDUCIDO
F20 - F29;ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES;F250;TRASTORNO ESQUIZOAFECTIVO DE TIPO MANIACO
F20 - F29;ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES;F251;TRASTORNO ESQUIZOAFECTIVO DE TIPO DEPRESIVO
F20 - F29;ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES;F252;TRASTORNO ESQUIZOAFECTIVO DE TIPO MIXTO
F20 - F29;ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES;F258;OTROS TRASTORNOS ESQUIZOAFECTIVOS
F20 - F29;ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES;F259;TRASTORNO ESQUIZOAFECTIVO, NO ESPECIFICADO
F20 - F29;ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES;F28X;OTROS TRASTORNOS PSICOTICOS NO ORGANICOS
F20 - F29;ESQUIZOFRENIA, TRASTORNOS ESQUIZOTIPICOS Y TRASTORNOS DELIRANTES;F29X;PSICOSIS DE ORIGEN NO ORGANICO, NO ESPECIFICADA
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F300;HIPOMANIA
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F301;MANIA SIN SINTOMAS PSICOTICOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F302;MANIA CON SINTOMAS PSICOTICOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F308;OTROS EPISODIOS MANIACOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F309;EPISODIO MANIACO, NO ESPECIFICADO
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F310;TRASTORNO AFECTIVO BIPOLAR, EPISODIO HIPOMANIACO PRESENTE
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F311;TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE SIN SINTOMAS PSICOTICOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F312;TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE CON SINTOMAS PSICOTICOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F313;TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO PRESENTE LEVE O MODERADO
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F314;TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F315;TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE CON SINTOMAS PSICOTICOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F316;TRASTORNO AFECTIVO BIPOLAR, EPISODIO MIXTO PRESENTE
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F317;TRASTORNO AFECTIVO BIPOLAR, ACTUALMENTE EN REMISION
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F318;OTROS TRASTORNOS AFECTIVOS BIPOLARES
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F319;TRASTORNO AFECTIVO BIPOLAR, NO ESPECIFICADO
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F320;EPISODIO DEPRESIVO LEVE
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F321;EPISODIO DEPRESIVO MODERADO
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F322;EPISODIO DEPRESIVO GRAVE SIN SINTOMAS PSICOTICOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F323;EPISODIO DEPRESIVO GRAVE CON SINTOMAS PSICOTICOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F328;OTROS EPISODIOS DEPRESIVOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F329;EPISODIO DEPRESIVO, NO ESPECIFICADO
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F330;TRASTORNO DEPRESIVO RECURRENTE, EPISODIO LEVE PRESENTE
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F331;TRASTORNO DEPRESIVO RECURRENTE, EPISODIO MODERADO PRESENTE
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F332;TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F333;TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE, CON SINTOMAS PSICOTICOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F334;TRASTORNO DEPRESIVO RECURRENTE ACTUALMENTE EN REMISION
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F338;OTROS TRASTORNOS DEPRESIVOS RECURRENTES
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F339;TRASTORNO DEPRESIVO RECURRENTE, NO ESPECIFICADO
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F340;CICLOTIMIA
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F341;DISTIMIA
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F348;OTROS TRASTORNOS DEL HUMOR [AFECTIVOS] PERSISTENTES
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F349;TRASTORNO PERSISTENTE DEL HUMOR [AFECTIVO], NO ESPECIFICADO
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F380;OTROS TRASTORNOS DEL HUMOR [AFECTIVOS], AISLADOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F381;OTROS TRASTORNOS DEL HUMOR [AFECTIVOS], RECURRENTES
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F388;OTROS TRASTORNOS DEL HUMOR [AFECTIVOS], ESPECIFICADOS
F30 - F39;TRASTORNOS DEL HUMOR [AFECTIVOS];F39X;TRASTORNO DEL HUMO SIN ESPECIFICACION
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F400;AGORAFOBIA
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F401;FOBIAS SOCIALES
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F402;FOBIAS ESPECIFICAS (AISLADAS)
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F408;OTROS TRASTORNOS FOBICOS DE ANSIEDAD
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F409;TRASTORNO FOBICO DE ANSIEDAD, NO ESPECIFICADO
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F410;TRASTORNO DE PANICO [ANSIEDAD PAROXISTICA EPISODICA]
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F411;TRASTORNO DE ANSIEDAD GENERALIZADA
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F412;TRASTORNO MIXTO DE ANSIEDAD Y DEPRESION
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F413;OTROS TRASTORNOS DE ANSIEDAD MIXTOS
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F418;OTROS TRASTORNOS DE ANSIEDAD ESPECIFICADOS
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F419;TRASTORNO DE ANSIEDAD, NO ESPECIFICADO
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F420;PREDOMINIO DE PENSAMIENTOS O RUMIACIONES OBSESIVAS
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F421;PREDOMINIO DE ACTOS COMPULSIVOS [RITUALES OBSESIVOS]
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F422;ACTOS E IDEAS OBSESIVAS MIXTOS
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F428;OTROS TRASTORNOS OBSESIVO-COMPULSIVOS
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F429;TRASTORNO OBSESIVO-COMPULSIVO, NO ESPECIFICADO
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F430;REACCION AL ESTRES AGUDO
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F431;TRASTORNO DE ESTRES POSTRAUMATICO
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F432;TRASTORNOS DE ADAPTACION
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F438;OTRAS REACCIONES AL ESTRES GRAVE
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F439;REACCION AL ESTRES GRAVE, NO ESPECIFICADA
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F440;AMNESIA DISOCIATIVA
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F441;FUGA DISOCIATIVA
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F442;ESTUPOR DISOCIATIVO
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F443;TRASTORNOS DE TRANCE Y DE POSESION
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F444;TRASTORNOS DISOCIATIVOS DEL MOVIMIENTO
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F445;CONVULSIONES DISOCIATIVAS
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F446;ANESTESIA DISOCIATIVA Y PERDIDA SENSORIAL
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F447;TRASTORNOS DISOCIATIVOS MIXTOS [Y DE CONVERSION]
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F448;OTROS TRASTORNOS DISOCIATIVOS [DE CONVERSION]
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F449;TRASTORNO DISOCIATIVO [DE CONVERSION], NO ESPECIFICADO
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F450;TRASTORNO DE SOMATIZACION
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F451;TRASTORNO SOMATOMORFO INDIFERENCIADO
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F452;TRASTORNO HIPOCONDRIACO
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F453;DISFUNCION AUTONOMICA SOMATOMORFA
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F454;TRASTORNO DE DOLOR PERSISTENTE SOMATOMORFO
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F458;OTROS TRASTORNOS SOMATOMORFOS
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F459;TRASTORNO SOMATOMORFO, NO ESPECIFICADO
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F480;NEURASTENIA
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F481;SINDROME DE DESPERSONALIZACION Y DESVINCULACION DE LA REALIDAD
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F488;OTROS TRASTORNOS NEUROTICOS ESPECIFICADOS
F40 - F48;TRASTORNOS NEUROTICOS, TRASTORNOS RELACIONADOS CON EL ESTRES Y TRASTORNOS SOMATOMORFOS;F489;TRASTORNO NEUROTICO, NO ESPECIFICADO
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F500;ANOREXIA NERVIOSA
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F501;ANOREXIA NERVIOSA ATIPICA
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F502;BULIMIA NERVIOSA
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F503;BULIMIA NERVIOSA ATIPICA
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F504;HIPERFAGIA ASOCIADA CON OTRAS ALTERACIONES PSICOLOGICAS
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F505;VOMITOS ASOCIADOS CON OTRAS ALTERACIONES PSICOLOGICAS
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F508;OTROS TRASTORNOS DE LA INGESTION DE ALIMENTOS
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F509;TRASTORNO DE LA INGESTION DE ALIMENTOS, NO ESPECIFICADO
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F511;HIPERSOMNIO NO ORGANICO
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F510;INSOMNIO NO ORGANICO
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F512;TRASTORNO NO ORGANICO DEL CICLO SUEÑO-VIGILIA
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F513;SONAMBULISMO
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F514;TERRORES DEL SUEÑO [TERRORES NOCTURNOS]
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F515;PESADILLAS
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F518;OTROS TRASTORNOS NO ORGANICOS DEL SUEÑO
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F519;TRASTORNO NO ORGANICO DEL SUEÑO, NO ESPECIFICADO
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F520;FALTA O PERDIDA DEL DESEO SEXUAL
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F521;AVERSION AL SEXO Y FALTA DE GOCE SEXUAL
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F522;FALLA DE LA RESPUESTA GENITAL
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F523;DISFUNCION ORGASMICA
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F524;EYACULACION PRECOZ
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F525;VAGINISMO NO ORGANICO
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F526;DISPAREUNIA NO ORGANICA
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F527;IMPULSO SEXUAL EXCESIVO
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F528;OTRAS DISFUNCIONES SEXUALES, NO OCASIONADAS POR TRASTORNO NI POR ENFERMEDAD ORGANICOS
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F529;DISFUNCION SEXUAL NO OCASIONADA POR TRASTORNO NI POR ENFERMEDAD ORGANICOS, NO ESPECIFICADA
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F530;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO LEVES, ASOCIADOS CON EL PUERPERIO, NO CLASIFICADOS EN OTRA PARTE
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F531;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO GRAVES, ASOCIADOS CON EL PUERPERIO, NO CLASIFICADOS EN OTRA PARTE
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F538;OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO ASOCIADOS CON EL PUERPERIO, NO CLASIFICADOS EN OTRA PARTE
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F539;TRASTORNO MENTAL PUERPERAL, NO ESPECIFICADO
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F54X;FACTORES PSICOLOGICOS Y DEL COMPORTAMIENTO ASOCIADOS CON TRASTORNOS O ENFERMEDAD
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F55X;ABUSO DE SUSTANCIAS QUE NO PRODUCEN DEPENDENCIA
F50 - F59;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORESN FISICOS;F59X;SINDROMES DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F600;TRASTORNO PARANOIDE DE LA PERSONALIDAD
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F601;TRASTORNO ESQUIZOIDE DE LA PERSONALIDAD
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F602;TRASTORNO ASOCIAL DE LA PERSONALIDAD
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F603;TRASTORNO DE LA PERSONALIDAD EMOCIONALMENTE INESTABLE
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F604;TRASTORNO HISTRIONICO DE LA PERSONALIDAD
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F605;TRASTORNO ANANCASTICO DE LA PERSONALIDAD
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F606;TRASTORNO DE LA PERSONALIDAD ANSIOSA (EVASIVA, ELUSIVA)
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F607;TRASTORNO DE LA PERSONALIDAD DEPENDIENTE
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F608;OTROS TRASTORNOS ESPECIFICOS DE LA PERSONALIDAD
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F609;TRASTORNO DE LA PERSONALIDAD, NO ESPECIFICADO
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F61X;TRASTORNOS MIXTOS Y OTROS TRASTORNOS DE LA PERSONALIDAD
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F620;CAMBIO PERDURABLE DE LA PERSONALIDAD DESPUES DE UNA EXPERIENCIA CATASTROFICA
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F621;CAMBIO PERDURABLE DE LA PERSONALIDAD CONSECUTIVO A UNA ENFERMEDAD PSIQUIATRICA
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F628;OTROS CAMBIOS PERDURABLES DE LA PERSONALIDAD
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F629;CAMBIO PERDURABLE DE LA PERSONALIDAD, NO ESPECIFICADO
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F630;JUEGO PATOLOGICO
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F631;PIROMANIA
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F632;HURTO PATOLOGICO [CLEPTOMANIA]
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F633;TRICOTILOMANIA
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F638;OTROS TRASTORNOS DE LOS HABITOS Y DE LOS IMPULSOS
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F639;TRASTORNO DE LOS HABITOS Y DE LOS IMPULSOS, NO ESPECIFICADO
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F650;FETICHISMO
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F652;EXHIBICIONISMO
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F653;VOYEURISMO
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F654;PEDOFILIA
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F655;SADOMASOQUISMO
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F656;TRASTORNOS MULTIPLES DE LA PREFERENCIA SEXUAL
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F657;TRASTORNO PARAFILICO QUE INVOLUCRA COMPORTAMIENTOS EN SOLITARIO O INDIVIDUOS QUE DIERON SU CONSENTIMIENTO
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F658;OTROS TRASTORNOS DE LA PREFERENCIA SEXUAL
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F659;TRASTORNO DE LA PREFERENCIA SEXUAL, NO ESPECIFICADO
F60 - F69;TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;F660;TRASTORNO DE LA MADURACION SEXUAL
